From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
6623;7028;sea;3731;-1;-1;-1;-1;;YKR
6623;7029;sea;3731;-1;-1;-1;-1;;YKR
7013;687;sea;3789;-1;-1;-1;-1;;YKR
7013;2477;sea;3789;-1;-1;-1;-1;;YKR
7011;2477;sea;3789;-1;-1;-1;-1;;YKR
7017;2258;sea;3789;-1;-1;-1;-1;;YKR
7017;99;sea;3789;-1;-1;-1;-1;;YKR
7012;99;sea;3789;-1;-1;-1;-1;;YKR
2139;5720;sea;2988;-1;-1;-1;-1;;YKR
1120;2139;sea;2988;-1;-1;-1;-1;;YKR
1120;5720;sea;2988;-1;-1;-1;-1;;YKR
614;2339;sea;2988;-1;-1;-1;-1;;YKR
1429;1649;sea;2960;-1;-1;-1;-1;;YKR
1429;79;sea;2960;-1;-1;-1;-1;;YKR
7130;7131;sea;3695;1378;185;1402;185;;SRB
5992;1972;sea;3709;-1;-1;-1;-1;;OKI
1082;153;sea;2989;-1;-1;-1;-1;;OKI
1210;524;sea;3701;-1;-1;-1;-1;;OKI
5960;1035;sea;2959;-1;-1;-1;-1;;OKI
2254;1228;sea;3708;-1;-1;-1;-1;;OKI
1900;1725;sea;3701;-1;-1;-1;-1;;OKI
115;2481;sea;3701;-1;-1;-1;-1;;OKI
5955;1862;sea;3684;-1;-1;-1;-1;;OKI
878;149;sea;2976;-1;-1;-1;-1;;OKI
543;2379;sea;3781;-1;-1;-1;-1;;OKI
543;328;sea;3781;-1;-1;-1;-1;;OKI
846;6458;sea;3756;-1;-1;-1;-1;;HEL-CEL
846;1496;sea;3756;-1;-1;-1;-1;;HEL-CEL
846;1102;sea;3756;-1;-1;-1;-1;;HEL-CEL
7220;7108;sea;3736;-1;-1;-1;-1;;HEL-NET
7220;7103;sea;3736;-1;-1;-1;-1;;HEL-NET
7209;7108;sea;3736;-1;-1;-1;-1;;HEL-NET
7209;7103;sea;3736;-1;-1;-1;-1;;HEL-NET
6172;325;sea;3729;511;609;525;626;;HEL
6172;1872;sea;3729;515;605;533;618;;HEL
6418;6061;sea;3723;513;486;-1;-1;;HEL
573;6113;sea;3723;536;548;553;535;;HEL
1452;6128;sea;3791;600;564;594;550;;HEL
1452;6131;sea;3791;600;564;602;548;;HEL
1003;1016;sea;3791;603;609;625;608;;HEL-GEN
949;1016;sea;3791;605;597;629;601;;HEL-GEN
6134;2328;sea;6221;644;556;653;570;;HEL-GEN
6127;2328;sea;6221;656;554;653;570;;HEL-GEN
2468;7602;sea;7603;-1;-1;-1;-1;;CEL-GEN
2468;7605;sea;7603;-1;-1;-1;-1;;CEL-GEN
599;7605;sea;7603;-1;-1;-1;-1;;CEL-GEN
599;7601;sea;7603;-1;-1;-1;-1;;CEL-GEN
599;7602;sea;7603;-1;-1;-1;-1;;CEL-GEN
1951;7521;sea;2998;-1;-1;-1;-1;;CEL-GEN
1951;7519;sea;2998;-1;-1;-1;-1;;CEL-GEN
1194;7519;sea;2998;-1;-1;-1;-1;;CEL-GEN
1194;7514;sea;2998;-1;-1;-1;-1;;CEL-GEN
1692;692;sea;6708;-1;-1;-1;-1;;CFA
1280;692;sea;6708;-1;-1;-1;-1;;CFA
1280;2169;sea;6708;-1;-1;-1;-1;;CFA
1503;2590;sea;3770;-1;-1;-1;-1;;CFA
1503;2114;sea;3770;-1;-1;-1;-1;;CFA
2079;1465;sea;3770;-1;-1;-1;-1;;CFA
2079;2595;sea;3770;-1;-1;-1;-1;;CFA
1692;508;sea;6708;-1;-1;-1;-1;;CFA
1692;2578;sea;6708;-1;-1;-1;-1;;CFA
948;2352;sea;3770;-1;-1;-1;-1;;CFA
948;1840;sea;3770;-1;-1;-1;-1;;CFA
2547;1840;sea;3770;-1;-1;-1;-1;;CFA
2547;2352;sea;3770;-1;-1;-1;-1;;CFA
1503;2547;sea;3770;-1;-1;-1;-1;;CFA
1503;2615;sea;3770;-1;-1;-1;-1;;CFA
1543;1976;sea;3774;-1;-1;-1;-1;;CFA
719;1976;sea;3774;-1;-1;-1;-1;;CFA
574;2430;sea;3779;-1;-1;-1;-1;;CFA-TES
2430;1613;sea;3779;-1;-1;-1;-1;;CFA-TES
2136;2680;sea;2984;-1;-1;-1;-1;;CFA-TES
2136;364;sea;2984;-1;-1;-1;-1;;CFA-TES
2062;1026;sea;2983;-1;-1;-1;-1;;CFA-TES
2062;2231;sea;2983;-1;-1;-1;-1;;CFA-TES
1657;437;sea;3768;-1;-1;-1;-1;;CFA-TES
1657;1741;sea;3768;-1;-1;-1;-1;;CFA-TES
900;437;sea;3768;-1;-1;-1;-1;;CFA-TES
900;2288;sea;3768;-1;-1;-1;-1;;CFA-TES
2620;2288;sea;3768;-1;-1;-1;-1;;CFA-TES
1722;829;sea;2954;-1;-1;-1;-1;;TES
2395;1833;sea;3688;-1;-1;-1;-1;;TES
940;368;sea;3762;-1;-1;-1;-1;;TES
940;2292;sea;3762;-1;-1;-1;-1;;TES
940;1951;sea;3762;-1;-1;-1;-1;;TES
841;2644;sea;3761;-1;-1;-1;-1;;TES
1231;2644;sea;3761;-1;-1;-1;-1;;TES
1231;1248;sea;3761;-1;-1;-1;-1;;TES
1493;1729;sea;3776;-1;-1;-1;-1;;TES
2060;1729;sea;3688;-1;-1;-1;-1;;TES
2060;2600;sea;3000;-1;-1;-1;-1;;TES
250;1974;sea;6712;-1;-1;-1;-1;;TES
1026;2173;sea;2983;-1;-1;-1;-1;;TES
1026;2365;sea;2983;-1;-1;-1;-1;;TES
2042;2173;sea;2983;-1;-1;-1;-1;;TES
2042;2365;sea;2983;-1;-1;-1;-1;;TES
1097;6458;sea;3756;-1;-1;-1;-1;;TES
6780;670;sea;6711;-1;-1;-1;-1;;IKU
6780;2475;sea;6711;-1;-1;-1;-1;;IKU
6693;1974;sea;6711;-1;-1;-1;-1;;IKU
6701;250;sea;6712;-1;-1;-1;-1;;IKU
1842;7693;sea;2968;-1;-1;-1;-1;;NET
1170;7693;sea;2968;-1;-1;-1;-1;;NET
1170;7700;sea;2968;-1;-1;-1;-1;;NET
2063;7700;sea;2968;-1;-1;-1;-1;;NET
7701;6987;sea;7151;-1;-1;-1;-1;;NET-HEL
7701;6975;sea;7151;-1;-1;-1;-1;;NET-HEL
7696;6975;sea;7151;-1;-1;-1;-1;;NET-HEL
7696;6959;sea;7151;-1;-1;-1;-1;;NET-HEL
7692;6959;sea;7151;-1;-1;-1;-1;;NET-HEL
7692;6950;sea;7151;-1;-1;-1;-1;;NET-HEL
7135;7483;sea;3696;1;1;1;1;SUKIMA_RULE_OKI_HEL;OKI-HEL
7144;7192;sea;3786;1;1;1;1;SUKIMA_RULE_OKI_SCA;OKI-SCA
7143;7145;sea;3714;-1;-1;-1;-1;SUKIMA_RULE_OKI_GEN;OKI-GEN
7137;7154;sea;3712;1;1;1;1;SUKIMA_RULE_OKI_HUM;OKI-HUM
7132;7125;sea;3697;1;1;1;1;SUKIMA_RULE_OKI_BYA;OKI-BYA
7195;7513;sea;3713;1;1;1;1;SUKIMA_RULE_YKR_SCA;YKR-SCA
7204;7321;sea;3713;1;1;1;1;SUKIMA_RULE_YKR_CHE;YKR-CHE
7216;7180;sea;3747;-1;-1;-1;-1;SUKIMA_RULE_YKR_NET;YKR-NET
7149;7153;sea;3719;-1;-1;-1;-1;SUKIMA_RULE_YKR_HKR;YKR-HKR
7141;7134;sea;3711;1;1;1;1;SUKIMA_RULE_YKR_KAG;YKR-KAG
7146;7148;sea;3718;1;1;1;1;SUKIMA_RULE_YKR_EMB;YKR-EMB
3903;7142;sea;7629;1;1;1;1;;KAS-ZBT
7608;7606;sea;5253;1;1;1;1;;KAS-YUG
7133;7630;sea;3696;1;1;1;1;SUKIMA_RULE_OKI_HEL2;OKI-HEL
7607;7468;sea;6800;1;1;1;1;;MRY-UTH
-1;sea;-1;-1;-1;-1;-1;;-1
